"Class";"Name";"InChIKey";"CID";"CAS";"Bruyne.2001.RR"
"1";NA;"SFR";"SFR";"SFR";"SFR";NA
"2";"other";"water";"XLYOFNOQVPJJNP-UHFFFAOYSA-N";"962";"7732-18-5";NA
"3";"amine";"ammonium hydroxide";"VHUUQVKOLVNVRT-UHFFFAOYSA-N";"14923";"1336-21-6";NA
"4";"amine";"putrescine";"KIDHWZJUCRJVML-UHFFFAOYSA-N";"1045";"110-60-1";NA
"5";"amine";"cadaverine";"VHRGRCVQAFMJIZ-UHFFFAOYSA-N";"273";"462-94-2";NA
"6";"amine";"ammonia";"QGZKDVFQNNGYKY-UHFFFAOYSA-N";"222";"7664-41-7";0
"7";"amine";"ethanolamine";"HZAXFHJVJLSVMW-UHFFFAOYSA-N";"700";"141-43-5";0
"8";"amine";"heptylamine";"WJYIASZWHGOTOU-UHFFFAOYSA-N";"8127";"111-68-2";NA
"9";"amine";"isoamylamine";"BMFVGAAISNGQNM-UHFFFAOYSA-N";"7894";"107-85-7";NA
"10";"amine";"dimethylamine";"ROSDSFDQCJNGOL-UHFFFAOYSA-N";"674";"124-40-3";NA
"11";"O ring";"gamma-butyrolactone";"YEJRWHAVMIAJKC-UHFFFAOYSA-N";"7302";"96-48-0";NA
"12";"O ring";"gamma-hexalactone";"JBFHTYHTHYHCDJ-UHFFFAOYSA-N";"12756";"695-06-7";NA
"13";"O ring";"gamma-octalactone";"IPBFYZQJXZJBFQ-UHFFFAOYSA-N";"7704";"104-50-7";NA
"14";"O ring";"gamma-decalactone";"IFYYFLINQYPWGJ-UHFFFAOYSA-N";"12813";"706-14-9";NA
"15";"O ring";"delta-decalactone";"GHBSPIPJMLAMEP-UHFFFAOYSA-N";"12810";"705-86-2";NA
"16";"acid";"methanoic acid";"BDAGIHXWWSANSR-UHFFFAOYSA-N";"284";"64-18-6";NA
"17";"acid";"acetic acid";"QTBSBXVTEAMEQO-UHFFFAOYSA-N";"176";"64-19-7";NA
"18";"acid";"propanoic acid";"XBDQKXXYIPTUBI-UHFFFAOYSA-N";"1032";"79-09-4";NA
"19";"acid";"butyric acid";"FERIUCNNQQJTOY-UHFFFAOYSA-N";"264";"107-92-6";0
"20";"acid";"pentanoic acid";"NQPDZGIKBAWPEJ-UHFFFAOYSA-N";"7991";"109-52-4";NA
"21";"acid";"hexanoic acid";"FUZZWVXGSFPDMH-UHFFFAOYSA-N";"8892";"142-62-1";NA
"22";"acid";"heptanoic acid";"MNWFXJYAOYHMED-UHFFFAOYSA-N";"8094";"111-14-8";NA
"23";"acid";"octanoic acid";"WWZKQHOCKIZLMA-UHFFFAOYSA-N";"379";"124-07-2";NA
"24";"acid";"nonanoic acid";"FBUKVWPVBMHYJY-UHFFFAOYSA-N";"8158";"112-05-0";NA
"25";"acid";"linoleic acid";"OYHQOLUKZRVURQ-HZJYTTRNSA-N";"5280450";"60-33-3";NA
"26";"acid";"isobutyric acid";"KQNPFQTWMSNSAP-UHFFFAOYSA-N";"6590";"79-31-2";NA
"27";"acid";"isopentanoic acid";"GWYFCOCPABKNJV-UHFFFAOYSA-N";"10430";"503-74-2";NA
"28";"acid";"pyruvic acid";"LCTONWCANYUPML-UHFFFAOYSA-N";"1060";"127-17-3";NA
"29";"acid";"2-ethylhexanoic acid";"OBETXYAYXDNJHR-UHFFFAOYSA-N";"8697";"149-57-5";NA
"30";"acid";"lactic acid";"JVTAAEKCZFNVCJ-UHFFFAOYSA-N";"612";"50-21-5";NA
"31";"sulfid";"3-methylthio-1-propanol";"CZUGFKJYCPYHHV-UHFFFAOYSA-N";"10448";"505-10-2";0
"32";"sulfid";"dimethyl sulfide";"QMMFVYPAHWMCMS-UHFFFAOYSA-N";"1068";"75-18-3";NA
"33";"sulfid";"dipropyldisulphide";"ALVPFGSHPUPROW-UHFFFAOYSA-N";"12377";"629-19-6";0
"34";"sulfid";"propanethiol";"SUVIGLJNEAMWEG-UHFFFAOYSA-N";"7848";"107-03-9";0
"35";"terpene";"terpinolene";"MOYAFQVGZZPNRA-UHFFFAOYSA-N";"11463";"586-62-9";NA
"36";"terpene";"alpha-pinene";"GRWFGVWFFZKLTI-UHFFFAOYSA-N";"6654";"80-56-8";0
"37";"terpene";"beta-pinene";"WTARULDDTDQWMU-UHFFFAOYSA-N";"14896";"127-91-3";NA
"38";"terpene";"3-carene";"BQOFWKZOCNGFEC-UHFFFAOYSA-N";"443156";"13466-78-9";NA
"39";"terpene";"limonene";"XMGQYMWWDOXHJM-UHFFFAOYSA-N";"22311";"138-86-3";NA
"40";"terpene";"alpha-humulene";"FAMPSKZZVDUYOS-HRGUGZIWSA-N";"5281520";"6753-98-6";NA
"41";"terpene";"beta-myrcene";"UAHWPYUMFXYFJY-UHFFFAOYSA-N";"31253";"123-35-3";NA
"42";"terpene";"(-)-trans-caryophyllene";"NPNUFJAVOOONJE-GFUGXAQUSA-N";"5281515";"87-44-5";NA
"43";"terpene";"p-cymene";"HFPZCAJZSCWRBC-UHFFFAOYSA-N";"7463";"99-87-6";NA
"44";"terpene";"geranyl acetate";"HIGQPQRQIQDZMP-DHZHZOJOSA-N";"1549026";"105-87-3";0
"45";"terpene";"alpha-terpineol";"WUOACPNHFRMFPN-SECBINFHSA-N";"443162";"10482-56-1";NA
"46";"terpene";"geraniol";"GLZPCOQZEFWAFX-JXMROGBWSA-N";"637566";"106-24-1";NA
"47";"terpene";"nerol";"GLZPCOQZEFWAFX-YFHOEESVSA-N";"643820";"106-25-2";NA
"48";"terpene";"linalool";"CDOSHBSSFJOMGT-UHFFFAOYSA-N";"6549";"78-70-6";0
"49";"terpene";"beta-citronellol";"QMVPMAAFGQKVCJ-SNVBAGLBSA-N";"8842";"106-22-9";0
"50";"terpene";"linalool oxide";"BRHDDEIRQPDPMG-UHFFFAOYSA-N";"22310";"60047-17-8";NA
"51";"terpene";"(R)-(-)-carvone";"ULDHMXUKGWMISQ-SECBINFHSA-N";"439570";"6485-40-1";NA
"52";"terpene";"(S)-(+)-carvone";"ULDHMXUKGWMISQ-VIFPVBQESA-N";"16724";"2244-16-8";NA
"53";"terpene";"1,8-cineole";"WEEGYLXZBRQIMU-WAAGHKOSSA-N";"2758";"470-82-6";0
"54";"terpene";"1,4-cineol";"RFFOTVCVTJUTAD-UHFFFAOYSA-N";"10106";"470-67-7";NA
"55";"terpene";"citral";"WTEVQBCEXWBHNA-JXMROGBWSA-N";"638011";"5392-40-5";NA
"56";"terpene";"(S)-(-)-citronellal";"NEHNMFOYXAPHSD-JTQLQIEISA-N";"443157";"5949-05-3";NA
"57";"terpene";"(1R)-(-)-fenchone";"LHXDLQBQYFFVNW-OIBJUYFYSA-N";"14525";"7787-20-4";NA
"58";"terpene";"(R)-(+)-limonene";"XMGQYMWWDOXHJM-JTQLQIEISA-N";"440917";"5989-27-5";0
"59";"terpene";"(-)-menthone";"NFLGAXVYCFJBMK-BDAKNGLRSA-N";"26447";"14073-97-3";NA
"60";"terpene";"(1R)-(-)-myrtenal";"KMRMUZKLFIEVAO-UHFFFAOYSA-N";"61130";"564-94-3";NA
"61";"terpene";"(+)-alpha-pinene";"GRWFGVWFFZKLTI-RKDXNWHRSA-N";"82227";"7785-70-8";NA
"62";"terpene";"(R)-(+)-pulegon";"NZGWDASTMWDZIW-MRVPVSSYSA-N";"442495";"89-82-7";NA
"63";"terpene";"(-)-alpha-thujone";"USMNOWBWPHYOEA-MRTMQBJTSA-N";"261491";"546-80-5";NA
"64";"terpene";"alpha-bisabolol";"RGZSQWQPBWRIAQ-CABCVRRESA-N";"10586";"23089-26-1";NA
"65";"terpene";"E,E-farnesol";"CRDAMVZIKSXKFV-YFVJMOTDSA-N";"445070";"106-28-5";NA
"66";"terpene";"alpha-ionone";"UZFLPKAIBPNNCA-BQYQJAHWSA-N";"5282108";"127-41-3";NA
"67";"terpene";"beta-ionone";"PSQYTAPXSHCGMF-BQYQJAHWSA-N";"638014";"79-77-6";NA
"68";"terpene";"L-limonen";"XMGQYMWWDOXHJM-SNVBAGLBSA-N";"439250";"5989-54-8";NA
"69";"aldehyde";"acetaldehyde";"IKHGUXGNUITLKF-UHFFFAOYSA-N";"177";"75-07-0";NA
"70";"aldehyde";"propanal";"NBBJYMSMWIIQGU-UHFFFAOYSA-N";"527";"123-38-6";NA
"71";"aldehyde";"butanal";"ZTQSAGDEMFDKMZ-UHFFFAOYSA-N";"261";"123-72-8";NA
"72";"aldehyde";"pentanal";"HGBOYTHUEUWSSQ-UHFFFAOYSA-N";"8063";"110-62-3";NA
"73";"aldehyde";"hexanal";"JARKCYVAAOWBJS-UHFFFAOYSA-N";"6184";"66-25-1";NA
"74";"aldehyde";"E2-hexenal";"MBDOYVRWFFCFHM-SNAWJCMRSA-N";"5281168";"6728-26-3";0
"75";"O ring";"furfural";"HYBBIBNJHNGZAN-UHFFFAOYSA-N";"7362";"98-01-1";NA
"76";"aldehyde";"2-propenal";"HGINCPLSRVDWNT-UHFFFAOYSA-N";"7847";"107-02-8";NA
"77";"aldehyde";"octanal";"NUJGJRNETVAIRJ-UHFFFAOYSA-N";"454";"124-13-0";NA
"78";"aldehyde";"decanal";"KSMVZQYAVGTKIV-UHFFFAOYSA-N";"8175";"112-31-2";NA
"79";"aldehyde";"heptanal";"FXHGMKSSBGDXIY-UHFFFAOYSA-N";"8130";"111-71-7";NA
"80";"aldehyde";"E2-octenal";"LVBXEMGDVWVTGY-VOTSOKGWSA-N";"5283324";"2548-87-0";0
"81";"aldehyde";"nonanal";"GYHFUZHODSMOHU-UHFFFAOYSA-N";"31289";"124-19-6";0
"82";"aldehyde";"E2-heptenal";"NDFKTBCGKNOHPJ-AATRIKPKSA-N";"5283316";"18829-55-5";NA
"83";"ketone";"acetone";"CSCPPACGZOOCGX-UHFFFAOYSA-N";"180";"67-64-1";0
"84";"ketone";"2-butanone";"ZWEHNKRNPOVVGH-UHFFFAOYSA-N";"6569";"78-93-3";NA
"85";"ketone";"2-pentanone";"XNLICIUVMPYHGG-UHFFFAOYSA-N";"7895";"107-87-9";NA
"86";"ketone";"2-heptanone";"CATSNJVOTSVZJV-UHFFFAOYSA-N";"8051";"110-43-0";0
"87";"ketone";"6-methyl-5-hepten-2-one";"UHEPJGULSIKKTP-UHFFFAOYSA-N";"9862";"110-93-0";NA
"88";"ketone";"2,3-butanedione";"QSJXEFYPDANLFS-UHFFFAOYSA-N";"650";"431-03-8";0
"89";"ketone";"3-hydroxy-2-butanone";"ROWKJAVDOGWPAT-UHFFFAOYSA-N";"179";"513-86-0";NA
"90";"ketone";"3-penten-2-one";"LABTWGUMFABVFG-ARJAWSKDSA-N";"12248";"625-33-2";NA
"91";"ketone";"2-hexanone";"QQZOPKMRPOGIEB-UHFFFAOYSA-N";"11583";"591-78-6";NA
"92";"ketone";"3-hexanone";"PFCHFHIRKBAQGU-UHFFFAOYSA-N";"11509";"589-38-8";NA
"93";"ketone";"cyclohexanone";"JHIVVAPYMSGYDF-UHFFFAOYSA-N";"7967";"108-94-1";0
"94";"ketone";"2-octanone";"ZPVFWPFBNIEHGJ-UHFFFAOYSA-N";"8093";"111-13-7";NA
"95";"ketone";"2-methyl-3-heptanone";"XYYMFUCZDNNGFS-UHFFFAOYSA-N";"25611";"13019-20-0";NA
"96";"ketone";"nonanone";"VKCYHJWLYTUGCC-UHFFFAOYSA-N";"13187";"821-55-6";NA
"97";"ketone";"3-heptanone";"NGAZZOYFWWSOGK-UHFFFAOYSA-N";"7802";"106-35-4";NA
"98";"ketone";"4-octanone";"YWXLSHOWXZUMSR-UHFFFAOYSA-N";"11516";"589-63-9";NA
"99";"arom";"phenethyl alcohol";"WRMNZCZEMHIOCP-UHFFFAOYSA-N";"6054";"60-12-8";NA
"100";"arom";"benzyl alcohol";"WVDDGKGOMKODPV-UHFFFAOYSA-N";"244";"100-51-6";NA
"101";"arom";"methyl salicylate";"OSWPMRLSEDHDFF-UHFFFAOYSA-N";"4133";"119-36-8";0
"102";"arom";"methyl benzoate";"QPJVMBTYPHYUOC-UHFFFAOYSA-N";"7150";"93-58-3";NA
"103";"arom";"ethyl benzoate";"MTZQAGJQAFMTAQ-UHFFFAOYSA-N";"7165";"93-89-0";NA
"104";"arom";"phenethyl acetate";"MDHYEMXUFSJLGV-UHFFFAOYSA-N";"7654";"103-45-7";NA
"105";"arom";"benzaldehyde";"HUMNYLRZRPPJDN-UHFFFAOYSA-N";"240";"100-52-7";0
"106";"arom";"phenylacetaldehyde";"DTUQWGWMVIHBKE-UHFFFAOYSA-N";"998";"122-78-1";0
"107";"arom";"acetophenone";"KWOLFJPFCHCOCG-UHFFFAOYSA-N";"7410";"98-86-2";0
"108";"arom";"ethyl cinnamate";"KBEBGUQPQBELIU-CMDGGOBGSA-N";"637758";"103-36-6";NA
"109";"arom";"2-methylphenol";"QWVGKYWNOKOFNN-UHFFFAOYSA-N";"335";"95-48-7";NA
"110";"arom";"4-ethylguaiacol";"CHWNEIVBYREQRF-UHFFFAOYSA-N";"62465";"2785-89-9";NA
"111";"arom";"eugenol";"RRAFCDWBNXTKKO-UHFFFAOYSA-N";"3314";"97-53-0";NA
"112";"arom";"salicyl aldehyde";"SMQUZDBALVYZAC-UHFFFAOYSA-N";"6998";"90-02-8";NA
"113";"arom";"2-hydroxy-anisole";"LHGVFZTZFXWLCP-UHFFFAOYSA-N";"460";"90-05-1";NA
"114";"arom";"4-propenyl anisole";"RUVINXPYWBROJD-ONEGZZNKSA-N";"637563";"104-46-1";NA
"115";"arom";"4-methoxybenzaldehyde";"ZRSNZINYAWTAHE-UHFFFAOYSA-N";"31244";"123-11-5";NA
"116";"arom";"4-isopropylbenzaldehyde";"WTWBUQJHJGUZCY-UHFFFAOYSA-N";"326";"122-03-2";0
"117";"arom";"4-methoxybenzene";"RDOXTESZEPMUJZ-UHFFFAOYSA-N";"7519";"100-66-3";NA
"118";"arom";"4-allyl-1,2-dimethoxybenzene";"ZYEMGPIYFIJGTP-UHFFFAOYSA-N";"7127";"93-15-2";0
"119";"arom";"2,4,5-trimethoxy-1-propenylbenzene";"RKFAZBXYICVSKP-WAYWQWQTSA-N";"636822";"2883-98-9";NA
"120";"arom";"benzyl cyanide";"SUSQOBVLVYHIEX-UHFFFAOYSA-N";"8794";"140-29-4";NA
"121";"arom";"iso-eugenol";"BJIOGJUNALELMI-ONEGZZNKSA-N";"853433";"97-54-1";NA
"122";"arom";"4-methylphenol";"IWDCLRJOBJJRNH-UHFFFAOYSA-N";"2879";"106-44-5";0
"123";"arom";"4-ethylphenol";"HXDOZKJGKXYMEW-UHFFFAOYSA-N";"31242";"123-07-9";NA
"124";"arom";"2-propylphenol";"LCHYEKKJCUJAKN-UHFFFAOYSA-N";"12570";"644-35-9";NA
"125";"arom";"3-phenyl-2E-propenal";"KJPRLNWUNMBNBZ-QPJJXVBHSA-N";"637511";"14371-10-9";NA
"126";"arom";"benzonitrile";"JFDZBHWFFUWGJE-UHFFFAOYSA-N";"7505";"100-47-0";NA
